,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,total_funded,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_TARGET,aum_P_CEF,aum_P_MF,aum_P_SMA,total_sales,new_sales,newly_funded
4115,18,6,0,0,1,1,0,0,1,1,0,0,1,1,0,0,32871.68,0,0,0,0,0,0,30477.065,33706.855,1
4116,0,0,0,0,0,0,0,0,0,0,0,0,1,1,63500,0,0,63500,0,0,0,63500,0,0,0,0
4117,7,3,0,1,3,3,0,1,3,2,0,1,4,2,63599.82,1,9091.37,122836.24,0,0,0,63599.82,0,31154.9,60493,0
4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820.8306,3
4119,10,86,0,1,4,5,0,1,2,3,0,1,3,1,0,1,1411.49,0,19405.95,0,0,0,0,38429.44,24547.055,0
4120,32,14,6,2,4,3,1,2,2,2,1,2,2,1,252252.1,1,255380.52,0,0,0,0,252252.1,0,257090,92080,0
4121,6,0,0,0,3,0,0,0,2,0,0,0,12,3,523617.5,3,490591.47,0,0,71853.96,18622.5,387749.46,40916,672.96,1855.46,0
4122,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1665.95,0,1665.95,0,0,0,0,1665.95,0,0,30127.93,2
4123,2,0,2,0,1,0,1,0,1,0,1,0,1,1,261554.54,1,0,261554.54,0,0,0,261554.54,0,261554.54,150329.0202,1
4124,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.41,1
4125,0,4,0,1,0,2,0,1,0,2,0,1,3,1,0,0,28127.94,0,0,0,0,0,0,0,0,0
4126,0,4,0,3,0,3,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,45677.8004,2
4127,50,21,32,9,2,2,2,2,1,1,1,1,3,1,0,0,0,3610448.594,0,0,0,3532431.841,0,1524610.772,1331576.397,1
4128,22,26,14,4,4,4,3,2,2,2,1,1,3,1,523221.45,2,0,541257.47,0,0,0,541051.79,0,640961.09,809403.38,0
4129,10,2,8,1,4,1,3,1,2,1,1,1,6,2,2644033.86,2,56608.93,2617730.93,0,0,0,2644033.86,0,858377.06,1056592.75,1
4130,20,9,6,0,5,5,4,0,3,3,2,0,5,2,1173552.09,3,0,1152785.46,36308.18,0,0,3103.08,1170449.01,826186.51,801217.29,0
4131,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33608.36,0,33608.36,0,0,0,0,33608.36,0,0,0,0
4132,182,16,31,6,6,7,4,4,3,3,2,2,6,3,1045743.21,4,709221.49,330212.72,6309,0,0,1045743.21,0,1868139.31,4277150.89,1
4133,0,2,0,1,0,1,0,1,0,1,0,1,1,1,177287.13,0,177287.13,0,0,0,0,0,0,0,0,0
4134,1,7,0,1,1,1,0,1,1,1,0,1,9,3,813514.6559,0,130651.0803,681318.0601,0,0,0,641400.9862,172113.6697,2000,0,0
4135,1,13,0,1,1,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,379.26,0,0
4136,8,15,2,4,2,3,1,2,2,2,1,1,3,1,0,2,0,265416.72,0,0,0,0,0,277817.18,868215,1
4137,7,4,4,2,3,2,2,1,3,2,2,1,5,3,288562.71,1,3975.78,212086.93,52500,0,0,288562.71,0,92913.905,69414.43,0
4138,1,3,0,2,1,3,0,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,5000,3480.01,0
4139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5,1
4140,9,0,1,0,1,0,1,0,1,0,1,0,1,1,14625.43,1,14625.43,0,0,0,0,14625.43,0,14625.43,100183.26,3
4141,6,11,3,1,4,4,1,1,3,3,1,1,7,3,2233502.139,0,2098770.479,69117.28,65614.38,0,0,155230.07,2078272.069,184139.19,211586.03,0
4142,44,36,25,13,3,4,3,2,2,2,2,2,3,2,654022.11,0,586000.61,0,90237.43,0,0,654022.11,0,906238,34521,0
4143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4144,0,0,0,0,0,0,0,0,0,0,0,0,4,2,77310.05,0,67794.27,9515.78,0,0,0,48241.77,29068.28,0,0,0
4145,0,3,0,0,0,2,0,0,0,1,0,0,1,0,2853.07,0,2853.07,0,0,0,0,2853.07,0,391.99,5564.07,0
4146,2,0,2,0,1,0,1,0,1,0,1,0,3,1,661365.06,0,0,1015976.26,0,0,0,20285.49,641079.57,300000,0,0
4147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,202744.93,0,0,0,0,0,0,0,202744.93,0,0,0
4148,7,1,7,0,3,1,3,0,2,1,2,0,5,3,3049856.16,2,1160939.15,1580959.58,0,0,0,5912912.85,0,3149301.56,48752.73,0
4149,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17836.79,0,8896.35,0,8940.44,0,0,17836.79,0,0,0,0
4150,0,2,0,1,0,2,0,1,0,2,0,1,1,1,217739.0185,0,0,342330.9352,0,0,0,224889.0185,0,0,0,0
4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.28,1
4152,0,2,0,2,0,2,0,2,0,2,0,2,3,3,452139.33,0,56150.69,385988.64,0,0,0,352139.33,100000,0,0,0
4153,4,1,0,0,2,1,0,0,1,1,0,0,6,3,294219.94,1,26000.7,197849.24,70370,0,343865,0,0,2815.99,0,0
4154,0,1,0,0,0,1,0,0,0,1,0,0,5,2,73809.745,0,16150.895,55670.01,1988.84,0,0,73809.745,0,0,0,0
4155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6668,1
4156,6,13,0,5,1,2,0,1,1,2,0,1,5,2,501769.03,0,288668.3,215612.97,0,0,0,501769.03,0,13696.62,74818.81,0
4157,1,1,0,0,1,1,0,0,1,1,0,0,1,1,69093.42,1,0,0,0,0,0,0,89725,3500,0,0
4158,2,2,0,1,1,2,0,1,1,2,0,1,0,0,0,0,293.26,0,0,0,0,0,0,6243,7180,0
4159,0,1,0,1,0,1,0,1,0,1,0,1,3,2,10362.47,0,0,119584.6,0,0,253068.35,0,0,0,0,0
4160,31,26,0,1,5,4,0,1,1,1,0,1,5,1,87754.25,1,87754.25,0,0,0,0,87754.25,0,77472.38,58406.33,0
4161,56,6,0,0,3,1,0,0,1,1,0,0,3,1,25419.28,1,0,0,0,25419.28,0,0,0,3440.25,44443.455,6
4162,3,27,0,0,1,4,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2028.93,12473.34,2
4163,47,27,0,1,3,4,0,1,1,2,0,1,2,1,41863.61,0,45826.68,0,0,0,0,41863.61,0,19325,62426,0
4164,0,1,0,1,0,1,0,1,0,1,0,1,8,3,1795957.91,0,23463.2,1084944.71,687550,0,687550,1108407.91,0,0,332955,1
4165,0,2,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,0,0,0,0,0,0,0,0,0,0,0,0,2,1,331302.09,0,331302.09,0,0,0,0,0,331302.09,0,0,0
4167,9,3,0,1,3,2,0,1,3,2,0,1,2,1,29824.64398,3,0,59663.49888,0,0,0,54756.71939,0,15054.195,5648.59062,0
4168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.29,0,0,0,0,0,0,0,0
4169,13,0,0,0,1,0,0,0,1,0,0,0,1,1,15873.02,0,14597.86,1275.16,0,0,0,15873.02,0,2800,2600,0
4170,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1913.735,0,0,0,0,0,0,0,0,0
4172,12,10,0,3,1,3,0,3,1,3,0,3,1,1,28266.655,0,58624.76,0,0,0,0,28266.655,0,8164.88,9784.6,0
4173,576,310,11,13,16,17,6,4,3,3,1,1,12,2,575284.11,1,94211.69,0,1112.31,482128.43,0,575284.11,0,1240035.577,2757388.06,0
4174,22,50,3,2,1,3,1,1,1,3,1,1,14,4,886504.5,0,70187.43,621608.995,177777.715,18481.15,0,814646.725,0,199574.9,19627.115,1
4175,44,12,0,8,5,3,0,1,3,2,0,1,2,2,178800.5066,2,644.93,15996.60663,162158.97,0,0,178800.5066,0,45678.7,4898.46,0
4176,72,389,8,2,8,6,4,2,2,2,2,2,12,2,928699.38,2,840657.88,0,89348.67,0,0,369734.04,558965.34,258179.93,314855.53,1
4177,35,11,3,0,9,7,3,0,3,3,2,0,12,4,332870.05,3,126002.725,139355.965,61761.36,0,0,332870.05,0,149046.37,77916.245,0
4178,32,15,1,1,3,4,1,1,1,2,1,1,5,3,680164.742,1,274553.4135,243734.8635,0,0,0,347819.126,332345.616,74640.8175,25544.8875,0
4179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4180,3,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,14283,0,0
4181,25,34,2,2,6,10,1,2,3,4,1,1,10,4,483180.0388,0,152848.2823,262488.0571,34268.35897,0,17193.438,465986.6008,0,42434.67258,42032.98492,1
4182,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3103.87,0
4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12077.26,1
4185,24,12,1,3,5,7,1,2,3,3,1,2,7,3,103117.44,1,8154.83,39027.5,55900.12,0,0,56651.28,0,33044.01,34931.28773,1
4186,47,84,1,12,5,11,1,5,3,4,1,2,9,3,740593.913,0,0,1068561.711,23737.515,0,0,0,923235.035,50229.72,54239.925,1
4187,0,0,0,0,0,0,0,0,0,0,0,0,4,2,756879.54,0,362685.88,0,593663.81,0,905523,0,0,0,0,0
4188,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4189,0,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,10551.285,0,0,0,0,0,0,0,0,0
4190,28,11,3,0,1,1,1,0,1,1,1,0,2,2,93528.67,1,94510.05,0,0,0,0,179623.96,0,191585.2975,33510.5275,3
4191,1195,612,8,26,6,21,4,5,3,4,2,2,4,1,0,2,756528.984,0,0,0,0,0,0,1192374.237,409604.0956,1
4192,185,48,33,6,1,1,1,1,1,1,1,1,2,2,887566.17,0,0,58543.05,834599.14,0,0,964699.96,0,1006721.12,141609.3,0
4193,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,87777.67,0,0,0,0,0,0,0,0,0
4194,0,3,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72806.68,1
4195,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0
4196,4,1,0,0,2,1,0,0,2,1,0,0,1,1,9564.9075,1,2107.3975,0,7457.51,0,0,9564.9075,0,7723.93,0,0
4197,3,0,0,0,1,0,0,0,1,0,0,0,1,1,19932,0,0,0,19932,0,0,19932,0,10327,9064,0
4198,27,19,3,0,2,4,1,0,2,2,1,0,3,2,269153.1,0,160291,0,108862.1,0,0,269153.1,0,146188,22569,0
4199,0,0,0,0,0,0,0,0,0,0,0,0,3,3,108504.956,0,5399.36,59465.03184,43640.56416,0,0,108504.956,0,0,0,0
4200,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201,2,10,1,7,1,2,1,2,1,1,1,1,9,1,1792650.075,0,0,1971574.65,0,0,0,42382.62,1750267.455,31750,8610.42,0
4202,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,12,26,6,9,4,12,3,9,3,4,3,4,8,1,0,0,0,0,0,0,0,0,0,397740.44,231522.49,0
